City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
115,nome,90,US,1518299940,94,30.04,-94.42,69.8,3.36
116,mega,12,ET,1518301550,42,4.06,38.32,67.09,10.42
117,mar del plata,0,AR,1518301550,44,-46.43,-67.52,59.13,12.44
118,ilulissat,32,GL,1518299400,76,69.22,-51.1,-5.81,21.92
119,zhigalovo,36,RU,1518301551,55,54.81,105.15,-12.38,2.37
120,bowen,0,AU,1518296400,93,-20.01,148.25,66.2,0.81
121,laguna,20,MX,1518299100,26,27.52,-110.01,82.4,12.75
122,aklavik,75,CA,1518300000,76,68.22,-135.01,-9.41,3.36
123,ko samui,0,TH,1518301552,100,9.54,99.94,79.69,8.52
124,san cristobal,75,EC,1518300000,72,-0.39,-78.55,64.4,5.82
125,zaysan,0,KZ,1518301553,38,47.47,84.87,-5.86,2.71
126,grand haven,75,US,1518300960,58,43.06,-86.23,24.8,7.18
127,palaikastron,0,GR,1518301554,94,35.2,26.25,61.38,25.3
128,sosnovo-ozerskoye,0,RU,1518301554,45,52.53,111.54,-30.47,4.94
129,atar,68,MR,1518301357,23,20.52,-13.05,61.42,9.42
130,pasighat,8,IN,1518301555,90,28.06,95.33,48.46,2.71
131,kodiak,1,US,1518295980,57,39.95,-94.76,21.2,12.75
132,kysyl-syr,44,RU,1518301555,87,63.9,122.77,-20.21,2.71
133,biak,92,ID,1518301556,100,-0.91,122.88,75.33,2.59
134,altay,0,CN,1518301556,45,47.83,88.13,-11.21,2.71
135,mount isa,0,AU,1518298200,65,-20.73,139.49,78.8,4.38
136,tuktoyaktuk,5,CA,1518300000,74,69.44,-133.03,-11.21,8.05
137,mariestad,8,SE,1518299400,63,58.71,13.82,28.4,6.93
138,kaitangata,92,NZ,1518301558,86,-46.28,169.85,62.41,11.99
139,beira,75,ES,1518298200,100,43.2,-8.36,48.2,4.7
140,kjollefjord,76,NO,1518301559,89,70.95,27.35,27.18,17.58
141,noumea,92,NC,1518300000,69,-22.28,166.46,78.8,1.12
142,canete,0,IT,1518299400,77,46.33,9.49,39.2,3.36
143,olinda,75,EC,1518300000,83,-2.03,-79.75,78.8,11.41
144,ixtapa,90,MX,1518299340,65,20.71,-105.21,78.8,5.82
145,nanortalik,68,GL,1518301561,100,60.14,-45.24,20.47,15.79
146,zarichne,88,UA,1518301562,89,51.81,26.13,23.85,3.15
147,opelousas,90,US,1518299700,100,30.53,-92.08,66.2,6.93
148,pevek,68,RU,1518301562,85,69.7,170.27,6.97,5.61
149,khuzhir,32,RU,1518301563,78,53.19,107.35,-9.14,5.61
150,avera,90,US,1518299700,83,33.19,-82.53,71.6,10.29
151,georgetown,75,GY,1518300000,94,6.8,-58.16,75.2,6.93
152,esperance,20,TT,1518300000,65,10.24,-61.45,80.6,14.99
153,gamba,0,CN,1518301564,59,28.28,88.52,-7.48,2.37
154,harper,1,US,1518299700,55,30.3,-99.24,64.4,10.29
155,santa maria,40,BR,1518300000,88,-29.69,-53.81,80.6,2.24
156,koumac,0,NC,1518301567,78,-20.56,164.28,76.23,6.85
157,cockburn town,80,TC,1518301567,96,21.46,-71.14,78.3,25.41
158,talnakh,56,RU,1518301568,81,69.49,88.39,1.35,3.38
159,krasnyy yar,0,RU,1518301569,83,50.7,44.73,11.43,9.53
160,salisbury,90,GB,1518299820,100,51.07,-1.8,50.0,18.34
161,mount pleasant,90,US,1518299760,93,33.16,-94.97,39.2,9.17
162,ketchikan,75,US,1518299760,100,55.34,-131.65,33.8,6.93
163,kloulklubed,90,PW,1518299520,94,7.04,134.26,77.0,14.79
164,kimbe,88,PG,1518301571,100,-5.56,150.15,77.71,4.61
165,airai,44,TL,1518301572,90,-8.93,125.41,66.78,1.48
166,shibetsu,75,JP,1518298800,100,44.15,142.46,26.6,1.12
167,leningradskiy,76,RU,1518301572,96,69.38,178.42,17.86,3.49
168,high level,75,CA,1518300000,72,58.52,-117.13,10.4,4.7
